"p","digits","bru_mean","bru_stddev","bru_mean_tri","bru_stddev_tri","bru_tstat","ktt_mean","ktt_stddev","ktt_mean_tri","ktt_stddev_tri","ktt_tstat","by_mean","by_stddev","by_mean_tri","by_stddev_tri","by_tstat","expcomp_mean","expcomp_stddev","expcomp_mean_tri","expcomp_stddev_tri","expcomp_tstat","expsquares_mean","expsquares_stddev","expsquares_mean_tri","expsquares_stddev_tri","expsquares_tstat","exp_mean","exp_stddev","exp_mean_tri","exp_stddev_tri","exp_tstat"
35117,549,145362499.40,913593.85,135342858.92,38555.74,346.507444,20438919.68,47936.03,10171659.42,63158.09,4094.864009,17008580.68,78088.07,17008821.76,81898.87,-0.067370,14083069.20,26617.72,14083311.20,41650.65,-0.048959,256460912.50,601969.46,256522718.00,1113457.11,-1.544098,9362752.84,26848.97,9367296.74,206402.29,-0.690352
35507,555,148636972.48,337232.19,138759814.84,427558.70,573.582920,20914603.32,163645.32,10375603.02,100598.03,1734.952881,17287261.40,99063.49,17251296.60,21149.82,3.550464,14207682.00,145804.15,1420629.00,141774.17,0.069480,260096225.18,417293.24,260134726.06,381091.99,-2.154404,9571249.80,114100.47,9573004.64,109071.06,-0.351563
36629,573,158265183.38,318224.17,147930005.30,323238.77,720.523447,21990244.80,36780.05,10974428.36,45256.05,5973.390682,18419434.40,54152.74,18404438.60,23286.12,2.543941,15136309.10,16609.61,15133401.98,16166.05,3.966310,273801926.50,2182944.65,273748523.48,585421.36,0.747209,10041816.02,14955.17,10043337.84,14031.47,-2.346714
40787,638,195796485.50,1319642.05,182457885.88,92116.04,318.858938,26998367.42,38677.11,13416150.70,33364.39,8408.629239,24264261.80,48819.16,24305854.00,111083.59,-3.429449,17718861.80,68027.95,17700069.00,5924.99,2.752093,319424027.24,1269790.89,31935107.28,318038.98,1.713264,11903689.54,28179.46,11904753.82,33839.57,-0.764265
42677,667,214647041.16,2972989.75,200322814.04,3897046.39,92.413140,29469728.46,17201.75,14787996.62,10546.42,23009.764530,26849432.52,17868.94,26849660.20,14594.29,-0.312068,19662672.32,6317.76,19661666.96,7255.00,3.304725,344411724.88,1807077.99,344337750.02,254854.32,1.281831,13607680.94,28176.56,13609871.78,24256.06,-1.863431
48371,756,274271966.90,115154.19,255637582.52,66826.75,4425.944718,37761998.48,24003.57,18942367.08,16145.41,20572.562632,27695913.80,48397.33,27702815.64,61476.35,-2.789529,22186814.84,19876.57,22187925.20,100780.65,-0.341822,413785839.22,844169.08,413823591.10,2085402.17,-0.530638,14723467.06,19108.78,14724074.24,18186.60,-0.727855
52667,823,325465696.04,63184.47,303488484.28,67526.80,7515.104843,45204805.48,35008.45,22738853.16,26781.95,16117.718704,30734590.30,59860.00,30739228.36,62596.06,-1.693412,21556221.12,26846.15,21557648.66,28169.18,-1.160096,474511105.26,1035270.62,47468779.74,2459828.48,-2.117118,13755801.42,287884.24,13713410.74,85587.00,4.463352
58171,909,397725937.14,122954.12,371276652.30,736206.79,1120.573320,54886310.46,68215.29,27580077.50,32478.30,11429.139155,42328589.20,96005.00,42327082.20,163639.08,0.079400,29115671.40,46703.36,29121291.82,47390.88,-2.671217,562756717.96,624618.67,562721296.72,315405.20,1.600775,21178673.74,83463.92,21191904.36,91468.09,-3.378872
61717,965,447590646.68,197812.36,417793330.62,1763157.56,531.092093,61606827.46,43699.28,30992742.38,24888.96,19250.383818,45814829.52,113359.25,45827386.60,78064.33,-2.885019,3114065208.00,97056.54,3116860.60,47577.36,2.201135,622647985.88,1702193.59,622499336.14,351479.88,2.704511,22435328.54,43320.50,22433303.72,37313.02,1.119912
83579,1306,833384001.80,5382219.18,773072064.06,3214074.53,304.239061,110561697.32,989529.65,56027231.56,704946.47,1419.418492,71488995.40,224362.09,71390600.80,49784.79,4.281391,4831731702.00,36096.75,48350616.00,219565.22,-1.496464,1349011598.74,6595173.31,1349886539.56,6478909.01,-2.992715,36284255.96,1115249.56,36193588.82,957119.80,1.950910
